gpu,model,scenario_input_len,scenario_parallel,ttft,gen_tokens_per_second,total_time,total_concurrent_time
A2_x1,Qwen3-8B-AWQ,15000,1,21.03,22.01,25.57,25.9
A2_x1,Qwen3-8B-AWQ,15000,2,32.33,11.09,38.55,47.21
A2_x1,Qwen3-8B-AWQ,15000,5,64.13,4.69,71.17,111.04
A2_x1,Qwen3-8B-AWQ,20000,1,30.22,19.97,35.23,35.71
A2_x1,Qwen3-8B-AWQ,20000,2,45.65,10.04,51.93,66.17
A2_x1,Qwen3-8B-AWQ,20000,5,92.44,4.26,99.65,158.35
A2_x1,Qwen3-8B-AWQ,25000,1,40.78,18.1,46.3,46.71
A2_x1,Qwen3-8B-AWQ,25000,2,62.48,9.26,69.2,88.32
A2_x1,Qwen3-8B-AWQ,25000,5,124.55,3.94,131.86,212.92
A2_x1,Qwen3-8B-AWQ,30000,1,52.86,16.77,58.83,59.32
A2_x1,Qwen3-8B-AWQ,30000,2,79.71,8.53,86.58,112.38
A2_x1,Qwen3-8B-AWQ,30000,5,160.16,3.67,167.57,272.97
A2_x1,qwen3-14b,1000,1,1.8,21.18,6.47,6.87
A2_x1,qwen3-14b,1000,2,3.86,12.64,10.9,15.03
A2_x1,qwen3-14b,1000,5,14.86,12.63,21.89,37.03
A2_x1,qwen3-14b,5000,1,8.37,19.35,13.49,13.89
A2_x1,qwen3-14b,5000,2,24.22,11.64,31.26,42.12
A2_x1,qwen3-14b,5000,5,55.65,11.65,62.71,105.13
A2_x1,qwen3-14b,10000,1,8.37,19.14,13.54,13.86
A2_x1,qwen3-14b,10000,2,24.3,11.63,31.35,42.26
A2_x1,qwen3-14b,10000,5,56.02,11.62,63.06,105.67
A2_x1,qwen3-14b,15000,1,8.47,19.31,13.6,13.95
A2_x1,qwen3-14b,20000,1,8.39,19.29,13.52,13.96
A2_x1,qwen3-14b,25000,1,8.41,19.29,13.54,13.97
A2_x1,qwen3-14b,30000,1,8.44,19.26,13.58,14.03
A2_x1,qwen3-8b,1000,1,1.8,21.33,6.44,6.89
A2_x1,qwen3-8b,1000,2,1.09,15.29,7.42,8.13
A2_x1,qwen3-8b,1000,5,3.67,7.92,10.7,14.09
A2_x1,qwen3-8b,5000,1,8.34,19.3,13.48,13.92
A2_x1,qwen3-8b,5000,2,24.1,6.77,31.12,34.63
A2_x1,qwen3-8b,5000,5,74.25,2.55,82.43,90.56
A2_x1,qwen3-8b,10000,1,8.36,19.25,13.5,13.93
A2_x1,qwen3-8b,10000,2,22.29,7.55,29.33,32.62
A2_x1,qwen3-8b,15000,1,8.37,19.25,13.52,13.96
A2_x1,qwen3-8b,20000,1,8.4,19.28,13.53,13.99
A2_x1,qwen3-8b,25000,1,8.41,19.25,13.55,13.99
A2_x1,qwen3-8b,30000,1,8.43,19.2,13.59,14.05
A2_x2,Qwen3-0.6B,1000,1,0.08,145.83,0.77,1.21
A2_x2,Qwen3-0.6B,1000,2,0.12,109.52,1.03,1.47
A2_x2,Qwen3-0.6B,1000,5,0.25,84.06,1.44,2.01
A2_x2,Qwen3-0.6B,5000,1,0.44,120.39,1.27,1.64
A2_x2,Qwen3-0.6B,5000,2,0.67,76.87,1.99,2.41
A2_x2,Qwen3-0.6B,5000,5,1.34,40.73,3.92,4.5
A2_x2,Qwen3-0.6B,10000,1,1.08,97.34,2.11,2.51
A2_x2,Qwen3-0.6B,10000,2,1.61,53.0,3.63,4.06
A2_x2,Qwen3-0.6B,10000,5,3.38,23.85,8.1,8.77
A2_x2,Qwen3-0.6B,15000,1,1.97,81.94,3.19,3.6
A2_x2,Qwen3-0.6B,15000,2,3.03,40.85,5.79,6.3
A2_x2,Qwen3-0.6B,15000,5,6.22,16.84,11.83,13.65
A2_x2,Qwen3-0.6B,20000,1,3.08,71.92,4.47,4.87
A2_x2,Qwen3-0.6B,20000,2,4.68,32.8,8.37,8.85
A2_x2,Qwen3-0.6B,20000,5,9.83,14.55,15.62,19.4
A2_x2,Qwen3-0.6B,25000,1,4.44,63.48,6.01,6.48
A2_x2,Qwen3-0.6B,25000,2,6.84,27.19,11.55,12.1
A2_x2,Qwen3-0.6B,25000,5,14.1,12.58,20.44,26.8
A2_x2,Qwen3-0.6B,30000,1,6.03,56.91,7.79,8.24
A2_x2,Qwen3-0.6B,30000,2,9.3,27.59,13.79,15.0
A2_x2,Qwen3-0.6B,30000,5,19.28,12.48,25.36,35.13
A2_x2,Qwen3-1.7B,1000,1,0.16,74.94,1.5,1.94
A2_x2,Qwen3-1.7B,1000,2,0.22,57.2,1.97,2.37
A2_x2,Qwen3-1.7B,1000,5,0.48,47.25,2.61,3.11
A2_x2,Qwen3-1.7B,5000,1,0.85,67.21,2.34,2.78
A2_x2,Qwen3-1.7B,5000,2,1.31,44.99,3.58,4.01
A2_x2,Qwen3-1.7B,5000,5,2.52,26.24,6.64,7.24
A2_x2,Qwen3-1.7B,10000,1,1.9,59.95,3.56,3.92
A2_x2,Qwen3-1.7B,10000,2,2.89,34.24,6.07,6.59
A2_x2,Qwen3-1.7B,10000,5,5.92,15.98,11.61,13.29
A2_x2,Qwen3-1.7B,15000,1,3.22,53.91,5.07,5.53
A2_x2,Qwen3-1.7B,15000,2,4.95,28.13,9.04,9.56
A2_x2,Qwen3-1.7B,15000,5,10.03,12.44,16.0,19.97
A2_x2,Qwen3-1.7B,20000,1,4.76,48.25,6.84,7.2
A2_x2,Qwen3-1.7B,20000,2,7.34,23.81,12.23,12.98
A2_x2,Qwen3-1.7B,20000,5,14.98,10.71,21.35,28.3
A2_x2,Qwen3-1.7B,25000,1,6.56,44.63,8.8,9.24
A2_x2,Qwen3-1.7B,25000,2,10.1,22.3,14.82,16.31
A2_x2,Qwen3-1.7B,25000,5,20.45,10.37,26.61,37.02
A2_x2,Qwen3-1.7B,30000,1,8.55,41.66,10.95,11.43
A2_x2,Qwen3-1.7B,30000,2,13.08,21.65,18.14,20.42
A2_x2,Qwen3-1.7B,30000,5,26.66,9.59,33.18,47.71
A2_x2,Qwen3-14B-INT8,1000,1,0.67,18.26,6.14,6.52
A2_x2,Qwen3-14B-INT8,1000,2,0.99,16.83,6.94,7.34
A2_x2,Qwen3-14B-INT8,1000,5,2.18,14.51,9.2,9.72
A2_x2,Qwen3-14B-INT8,5000,1,3.65,17.51,9.36,9.69
A2_x2,Qwen3-14B-INT8,5000,2,5.75,13.59,13.36,13.83
A2_x2,Qwen3-14B-INT8,5000,5,11.44,8.46,25.1,25.9
A2_x2,Qwen3-14B-INT8,10000,1,8.15,16.59,14.18,14.51
A2_x2,Qwen3-14B-INT8,10000,2,12.19,11.11,22.66,23.22
A2_x2,Qwen3-14B-INT8,10000,5,24.91,5.75,48.83,49.97
A2_x2,Qwen3-14B-INT8,15000,1,13.34,16.09,19.55,19.94
A2_x2,Qwen3-14B-INT8,15000,2,20.57,9.75,33.75,34.38
A2_x2,Qwen3-14B-INT8,15000,5,50.82,4.05,114.68,123.26
A2_x2,Qwen3-14B-INT8,20000,1,19.66,15.38,26.16,26.54
A2_x2,Qwen3-14B-INT8,20000,2,29.65,8.59,46.72,47.52
A2_x2,Qwen3-14B-INT8,20000,5,63.45,4.66,99.3,116.87
A2_x2,Qwen3-14B-INT8,25000,1,26.39,14.88,33.11,33.53
A2_x2,Qwen3-14B-INT8,25000,2,40.7,7.69,61.65,62.49
A2_x2,Qwen3-14B-INT8,25000,5,180.32,0.7,324.16,506.29
A2_x2,Qwen3-4B,1000,1,0.34,36.16,3.11,3.49
A2_x2,Qwen3-4B,1000,2,0.51,30.05,3.85,4.27
A2_x2,Qwen3-4B,1000,5,1.05,25.58,5.02,5.56
A2_x2,Qwen3-4B,5000,1,1.91,33.54,4.89,5.27
A2_x2,Qwen3-4B,5000,2,2.99,24.2,7.25,7.7
A2_x2,Qwen3-4B,5000,5,5.87,12.5,12.03,14.03
A2_x2,Qwen3-4B,10000,1,4.4,31.35,7.59,7.98
A2_x2,Qwen3-4B,10000,2,6.66,18.37,12.03,13.03
A2_x2,Qwen3-4B,10000,5,13.63,8.08,20.12,26.89
A2_x2,Qwen3-4B,15000,1,7.54,28.9,11.0,11.46
A2_x2,Qwen3-4B,15000,2,11.67,14.78,17.1,19.27
A2_x2,Qwen3-4B,15000,5,23.51,6.48,30.2,43.05
A2_x2,Qwen3-4B,20000,1,11.38,27.14,15.07,15.51
A2_x2,Qwen3-4B,20000,2,17.04,13.98,22.66,26.9
A2_x2,Qwen3-4B,20000,5,34.82,6.12,41.78,62.11
A2_x2,Qwen3-4B,25000,1,15.6,25.49,19.52,19.97
A2_x2,Qwen3-4B,25000,2,23.84,13.1,29.81,35.99
A2_x2,Qwen3-4B,25000,5,47.92,5.8,54.93,84.39
A2_x2,Qwen3-4B,30000,1,20.48,24.08,24.63,25.05
A2_x2,Qwen3-4B,30000,2,31.13,12.45,37.1,46.19
A2_x2,Qwen3-4B,30000,5,62.82,5.47,69.88,109.65
A2_x2,Qwen3-8B,1000,1,0.59,20.56,5.45,5.87
A2_x2,Qwen3-8B,1000,2,0.88,17.55,6.59,7.09
A2_x2,Qwen3-8B,1000,5,1.96,15.13,8.67,9.26
A2_x2,Qwen3-8B,5000,1,3.23,19.83,8.27,8.62
A2_x2,Qwen3-8B,5000,2,5.12,14.68,12.15,12.58
A2_x2,Qwen3-8B,5000,5,9.92,8.96,22.34,23.29
A2_x2,Qwen3-8B,10000,1,7.07,18.64,12.43,12.91
A2_x2,Qwen3-8B,10000,2,10.64,11.76,20.31,20.91
A2_x2,Qwen3-8B,10000,5,21.63,6.21,43.0,44.23
A2_x2,Qwen3-8B,15000,1,11.44,18.05,16.98,17.39
A2_x2,Qwen3-8B,15000,2,17.59,10.37,29.53,30.18
A2_x2,Qwen3-8B,15000,5,35.59,4.81,66.97,68.54
A2_x2,Qwen3-8B,20000,1,16.46,17.29,22.24,22.66
