gpu,model,scenario_input_len,scenario_parallel,ttft,gen_tokens_per_second,total_time,total_concurrent_time
T4_x2,Qwen3-4B,10000,1,3.76,28.9,7.22,7.9
T4_x2,Qwen3-4B,10000,2,5.66,19.31,11.41,12.02
T4_x2,Qwen3-4B,10000,5,15.02,14.59,24.64,25.46
T4_x2,Qwen3-4B,15000,1,8.34,29.28,11.76,12.42
T4_x2,Qwen3-4B,15000,2,14.61,14.67,24.35,24.99
T4_x2,Qwen3-4B,15000,5,39.83,6.55,68.66,69.51
T4_x2,Qwen3-4B,20000,1,19.49,24.73,23.54,24.12
T4_x2,Qwen3-4B,20000,2,29.73,12.13,44.74,45.4
T4_x2,Qwen3-4B,20000,5,63.14,3.3,117.64,118.46
T4_x2,Qwen3-4B,25000,1,31.32,16.44,37.41,38.07
T4_x2,Qwen3-4B,25000,2,45.74,10.23,64.08,67.19
T4_x2,Qwen3-4B,25000,5,94.22,5.0,140.76,165.23
T4_x2,Qwen3-4B,30000,1,31.23,22.77,35.62,36.39
T4_x2,Qwen3-4B,30000,2,89.84,9.2,96.93,100.09
T4_x2,Qwen3-4B,30000,5,157.85,3.56,199.46,234.93
T4_x2,Qwen3-8B,1000,1,0.5,30.1,3.83,4.41
T4_x2,Qwen3-8B,1000,2,0.88,27.63,4.5,5.24
T4_x2,Qwen3-8B,1000,5,1.65,23.16,6.0,6.78
T4_x2,Qwen3-8B,5000,1,2.13,28.97,5.59,6.17
T4_x2,Qwen3-8B,5000,2,3.42,20.75,8.47,9.13
T4_x2,Qwen3-8B,5000,5,9.53,18.11,14.88,16.58
T4_x2,Qwen3-8B,10000,1,4.91,28.05,8.48,9.23
T4_x2,Qwen3-8B,10000,2,7.99,15.0,13.57,15.45
T4_x2,Qwen3-8B,10000,5,24.04,12.43,31.87,34.67
T4_x2,Qwen3-8B,15000,1,8.8,26.6,12.56,13.22
T4_x2,Qwen3-8B,15000,2,15.38,10.85,22.8,25.92
T4_x2,Qwen3-8B,15000,5,45.82,3.59,63.41,83.84
T4_x2,Qwen3-8B,20000,1,13.67,24.88,17.69,18.49
T4_x2,Qwen3-8B,20000,2,25.14,9.14,36.97,40.43
T4_x2,Qwen3-8B,20000,5,82.84,3.52,106.78,146.43
T4_x2,Qwen3-8B,25000,1,19.98,23.05,24.32,25.19
T4_x2,Qwen3-8B,25000,2,58.16,8.06,81.5,85.26
T4_x2,Qwen3-8B,25000,5,120.5,2.47,154.97,210.58
T4_x2,Qwen3-8B,30000,1,28.79,20.74,33.61,34.3
T4_x2,Qwen3-8B,30000,2,40.95,22.68,45.36,61.77
T4_x2,Qwen3-8B,30000,5,110.98,16.9,116.82,219.27
T4_x4,Qwen3-14B,1000,1,0.43,26.88,4.15,4.75
T4_x4,Qwen3-14B,1000,2,0.91,24.81,4.94,5.55
T4_x4,Qwen3-14B,1000,5,1.84,21.49,6.56,7.37
T4_x4,Qwen3-14B,5000,1,2.29,26.33,6.09,6.65
T4_x4,Qwen3-14B,5000,2,3.4,19.65,8.7,9.36
T4_x4,Qwen3-14B,5000,5,8.52,13.31,14.59,16.56
T4_x4,Qwen3-14B,10000,1,5.03,21.12,9.76,10.37
T4_x4,Qwen3-14B,10000,2,10.54,19.3,15.72,16.41
T4_x4,Qwen3-14B,10000,5,19.83,7.4,29.0,32.62
T4_x4,Qwen3-14B,15000,1,8.76,21.1,13.5,14.11
T4_x4,Qwen3-14B,15000,2,19.13,18.94,24.41,25.06
T4_x4,Qwen3-14B,15000,5,35.75,4.11,56.43,61.19
T4_x4,Qwen3-14B,20000,1,21.2,17.84,26.8,27.42
T4_x4,Qwen3-14B,20000,2,36.6,7.82,53.36,57.21
T4_x4,Qwen3-14B,20000,5,76.93,3.33,116.25,138.08
T4_x4,Qwen3-14B,25000,1,33.78,16.99,39.67,40.33
T4_x4,Qwen3-14B,25000,2,54.3,9.79,75.59,78.8
T4_x4,Qwen3-14B,25000,5,108.87,3.32,154.92,189.8
T4_x4,Qwen3-14B,30000,1,45.09,16.91,51.0,51.68
T4_x4,Qwen3-14B,30000,2,71.57,8.41,99.49,103.16
T4_x4,Qwen3-14B,30000,5,143.25,3.49,202.35,245.87
T4_x4,Qwen3-32B-GPTQ-Int8,1000,1,0.94,20.77,5.76,6.31
T4_x4,Qwen3-32B-GPTQ-Int8,1000,2,1.84,19.76,6.9,7.54
T4_x4,Qwen3-32B-GPTQ-Int8,1000,5,3.69,12.62,10.62,12.18
T4_x4,Qwen3-32B-GPTQ-Int8,5000,1,4.86,19.94,9.88,10.46
T4_x4,Qwen3-32B-GPTQ-Int8,5000,2,7.9,13.88,14.08,15.61
T4_x4,Qwen3-32B-GPTQ-Int8,5000,5,25.46,11.72,34.11,36.25
T4_x4,Qwen3-32B-GPTQ-Int8,10000,1,11.36,13.58,18.43,19.04
T4_x4,Qwen3-32B-GPTQ-Int8,10000,2,19.28,6.71,26.78,30.91
T4_x4,Qwen3-32B-GPTQ-Int8,10000,5,47.72,2.77,63.63,86.03
T4_x4,Qwen3-32B-GPTQ-Int8,15000,1,34.9,16.07,41.12,41.77
T4_x4,Qwen3-32B-GPTQ-Int8,15000,2,67.18,6.51,84.07,88.19
T4_x4,Qwen3-32B-GPTQ-Int8,15000,5,129.77,2.48,148.01,216.47
T4_x4,Qwen3-32B-GPTQ-Int8,20000,1,61.98,11.96,69.0,69.65
T4_x4,Qwen3-32B-GPTQ-Int8,20000,2,97.75,12.43,104.79,140.84
T4_x4,Qwen3-32B-GPTQ-Int8,20000,5,212.86,12.71,219.89,370.29
T4_x4,Qwen3-32B-GPTQ-Int8,25000,1,88.96,12.06,96.01,96.72
T4_x4,Qwen3-32B-GPTQ-Int8,25000,2,140.43,12.36,147.47,198.07
T4_x4,Qwen3-4B,1000,1,0.19,59.0,1.89,2.6
T4_x4,Qwen3-4B,1000,2,0.34,52.35,2.25,2.82
T4_x4,Qwen3-4B,1000,5,0.74,44.89,2.98,3.76
T4_x4,Qwen3-4B,5000,1,1.0,55.91,2.79,3.33
T4_x4,Qwen3-4B,5000,2,1.41,43.83,3.75,4.33
T4_x4,Qwen3-4B,5000,5,3.63,36.68,6.68,7.44
T4_x4,Qwen3-4B,10000,1,2.4,27.36,6.05,6.71
T4_x4,Qwen3-4B,10000,2,4.03,24.99,8.04,8.74
T4_x4,Qwen3-4B,10000,5,7.81,15.76,13.62,14.99
T4_x4,Qwen3-4B,15000,1,3.66,27.29,7.32,8.01
T4_x4,Qwen3-4B,15000,2,5.36,19.03,10.84,11.7
T4_x4,Qwen3-4B,15000,5,11.99,8.78,19.44,22.92
T4_x4,Qwen3-4B,20000,1,5.61,24.3,9.73,10.4
T4_x4,Qwen3-4B,20000,2,8.28,14.21,13.92,15.9
T4_x4,Qwen3-4B,20000,5,16.68,5.54,28.91,32.91
T4_x4,Qwen3-4B,25000,1,8.33,23.88,12.52,13.23
T4_x4,Qwen3-4B,25000,2,12.41,13.74,18.34,20.78
T4_x4,Qwen3-4B,25000,5,25.61,4.84,43.83,47.98
T4_x4,Qwen3-4B,30000,1,13.81,22.35,18.28,18.88
T4_x4,Qwen3-4B,30000,2,25.5,11.25,37.33,40.19
T4_x4,Qwen3-4B,30000,5,62.12,4.45,109.26,113.7
T4_x4,Qwen3-8B,1000,1,0.28,42.81,2.62,3.2
T4_x4,Qwen3-8B,1000,2,0.5,37.31,3.18,3.77
T4_x4,Qwen3-8B,1000,5,0.95,32.21,4.09,4.84
T4_x4,Qwen3-8B,5000,1,1.42,42.3,3.79,4.32
T4_x4,Qwen3-8B,5000,2,2.03,31.84,5.29,5.89
T4_x4,Qwen3-8B,5000,5,5.48,27.66,9.35,10.38
T4_x4,Qwen3-8B,10000,1,3.18,27.94,6.76,7.4
T4_x4,Qwen3-8B,10000,2,4.59,19.87,10.01,10.62
T4_x4,Qwen3-8B,10000,5,11.24,11.51,18.69,20.83
T4_x4,Qwen3-8B,15000,1,5.09,27.69,8.7,9.35
T4_x4,Qwen3-8B,15000,2,7.62,17.11,13.0,14.47
T4_x4,Qwen3-8B,15000,5,17.67,9.91,27.62,30.84
T4_x4,Qwen3-8B,20000,1,7.79,27.38,11.44,12.11
T4_x4,Qwen3-8B,20000,2,11.67,13.92,17.31,19.79
T4_x4,Qwen3-8B,20000,5,23.93,5.48,41.26,45.05
T4_x4,Qwen3-8B,25000,1,13.74,27.26,17.41,18.01
T4_x4,Qwen3-8B,25000,2,28.44,11.79,41.34,44.07
T4_x4,Qwen3-8B,25000,5,65.85,4.64,112.64,116.91
T4_x4,Qwen3-8B,30000,1,26.68,23.19,31.0,31.61
T4_x4,Qwen3-8B,30000,2,41.53,11.67,57.72,60.61
T4_x4,Qwen3-8B,30000,5,86.42,4.6,148.4,152.74
